BKTXT,TCODE,AEDAT,VGART,FLS_RSTO,MANDT,EXNUM,BLA2D,GTS_CUSREF_NO,USNAM,MSR_ACTIVE,CPUTM,TCODE2,BLAUM,MJAHR,CPUDT,LE_VBELN,XABLN,SPE_BUDAT_ZONE,WEVER,SPE_MDNUM_EWM,AWSYS,KNUMV,SPE_BUDAT_UHR,MBLNR,BLART,BLDAT,BUDAT,FRBNR,XCOMPL,FRATH,BFWMS,XBLNR,SPE_LOGSYS,LAST_UPDATED_DT_TS
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:35:02.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308833,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:35:12.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308834,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WL, ,900,          ,  ,                                   ,11260       , ,1970-01-01T06:35:45.000Z,VL02N               ,PR,2023,2023-07-04,0027210504,          ,INDIA , ,                ,ECPCLNT900,          ,1970-01-01T06:35:45.000Z,4958308875,WL,2023-07-04,2023-07-04,CG10BH6482      ,,0.00,2,0027210504      ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WL, ,900,          ,  ,                                   ,PO_JPP      , ,1970-01-01T06:36:04.000Z,VL02N               ,PR,2023,2023-07-04,0804816755,          ,INDIA , ,                ,ECPCLNT900,          ,1970-01-01T06:36:04.000Z,4958308876,WL,2023-07-04,2023-07-04,                ,,0.00,2,0804816755      ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,14703       , ,1970-01-01T06:36:06.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304267,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,S10026      , ,1970-01-01T06:37:03.000Z,MIGO_TR             ,PR,2023,2023-07-04,          ,          ,      ,1,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308874,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:37:15.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308877,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:37:21.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308878,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:37:30.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308879,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:37:37.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308880,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:37:48.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308881,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WL, ,900,          ,  ,                                   ,PO_JPP      , ,1970-01-01T06:37:55.000Z,VL02N               ,PR,2023,2023-07-04,8207250759,          ,INDIA , ,                ,ECPCLNT900,          ,1970-01-01T06:37:56.000Z,4958308862,WL,2023-07-04,2023-07-04,                ,,0.00,2,8207250759      ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:38:00.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308882,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WQ, ,900,          ,  ,                                   ,11404       , ,1970-01-01T06:38:16.000Z,QA11                ,PR,2023,2023-07-04,          ,          ,      , ,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308883,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,2018        , ,1970-01-01T06:39:09.000Z,MIGO_TR             ,PR,2023,2023-07-04,          ,          ,      ,3,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308850,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
